Ni,Nh1,Nh2,No,act_f,n_epochs,batchsize,lr,decay,lr_final,reg_type,alpha_reg,patience,train_loss,val_loss
1,30,30,1,leaky ReLU,5000,1,0.008699899047540632,True,0.0005,L2,0.002488939709547974,400,1.785001331192566,1.4604193018366294
1,18,18,1,leaky ReLU,5000,1,0.002968694175450633,True,0.0005,L2,0.007088488703768776,400,1.1856986663985025,1.3133920350258634
1,15,15,1,leaky ReLU,5000,1,0.00775968456121851,True,0.0005,L1,0.0027104098365269853,400,1.285066508097364,1.3857352010948425
1,36,36,1,ReLU,5000,1,0.004848709114546853,True,0.0005,None,0.0033446795708654354,400,1.019511354343885,1.2022375165849557
1,91,91,1,leaky ReLU,5000,1,0.0056046104114358345,True,0.0005,L1,0.006395881156505572,400,1.4368114992517333,1.2351817712693343
1,67,67,1,sig,5000,1,0.0040687031152414534,True,0.0005,L1,0.004445556788983382,400,2.967725446847648,3.5414454395818433
1,26,26,1,ReLU,5000,1,0.0015579987390186682,True,0.0005,None,0.0027925345645353895,400,1.3051864122955827,1.4590885522176256
1,56,56,1,leaky ReLU,5000,1,0.0010931577301526347,True,0.0005,L2,0.005610450805758179,400,1.2013676540084512,1.332167777501881
1,24,24,1,sig,5000,1,0.004340719024611566,True,0.0005,L2,0.00817866473863069,400,1.5249861790287595,1.6161987746534927
1,56,56,1,ReLU,5000,1,0.0019532003743142315,True,0.0005,L1,0.003049591944286231,400,1.0524424474861271,1.2573417545716592
1,11,11,1,ReLU,5000,1,0.0015727514840531845,True,0.0005,L2,0.002733024233008778,400,1.2743023757207903,1.4183356155684677
1,8,8,1,leaky ReLU,5000,1,0.0029697021463209396,True,0.0005,L1,0.002307698717674702,400,1.2352624657346571,1.416681221985825
1,94,94,1,ReLU,5000,1,0.004531498235114282,True,0.0005,L1,0.0076851071124752705,400,1.4219039570348626,1.2839156238946456
1,11,11,1,leaky ReLU,5000,1,0.001699937123376212,True,0.0005,L2,0.00755596169131481,400,1.4452492615834411,1.5138873650567402
1,93,93,1,sig,5000,1,0.006440760400563695,True,0.0005,L2,0.007469175439435445,400,1.5864157804517345,1.6642518337301802
1,24,24,1,ReLU,5000,1,0.00270478509081621,True,0.0005,None,0.0041548675948619935,400,1.0164372861408428,1.2938850720118307
1,27,27,1,sig,5000,1,0.008511623606585094,True,0.0005,None,0.003064774976327191,400,1.2670387352939116,1.334040566879976
1,67,67,1,leaky ReLU,5000,1,0.007438481326670821,True,0.0005,L1,0.004847973358186656,400,1.684062714403732,1.2959963058296609
1,73,73,1,ReLU,5000,1,0.006505022493976817,True,0.0005,L2,0.008863024910531581,400,1.2510075928732072,1.3141244081053114
1,86,86,1,leaky ReLU,5000,1,0.0015687594475548117,True,0.0005,L2,0.00712305707591824,400,1.220782054314141,1.3518253163552614
1,42,42,1,ReLU,5000,1,0.003284867556117115,True,0.0005,L2,0.009157969015493806,400,1.1350572901261118,1.279261513366762
1,25,25,1,ReLU,5000,1,0.007044607086145769,True,0.0005,L1,0.008920032672374428,400,1.675671104455521,1.428214350645138
1,80,80,1,leaky ReLU,5000,1,0.005207777606319445,True,0.0005,None,0.007993622517223221,400,1.0156320135297205,1.2383938425476289
1,53,53,1,ReLU,5000,1,0.002148368181637137,True,0.0005,None,0.0028788447462387585,400,0.9691084147374087,1.2402691722117458
1,18,18,1,sig,5000,1,0.008088149996354866,True,0.0005,L1,0.006263384599392801,400,2.6850315723502653,3.1857352890658417
1,45,45,1,sig,5000,1,0.003123938969812892,True,0.0005,L1,0.0013190907061699088,400,1.2961986204965084,1.3356651160429394
1,30,30,1,sig,5000,1,0.004472392048753329,True,0.0005,None,0.004263681609434921,400,1.3283242993217832,1.3620378561297128
1,94,94,1,sig,5000,1,0.003906565594056085,True,0.0005,L1,0.006335792161212213,400,3.5808695041491374,3.5729466057688315
1,27,27,1,leaky ReLU,5000,1,0.0038031762121536676,True,0.0005,None,0.0023626494829682397,400,0.9953181888438181,1.2446971628085166
1,54,54,1,leaky ReLU,5000,1,0.005896855573720059,True,0.0005,None,0.001692299798423082,400,1.124264009420859,1.249969766654507
1,28,28,1,leaky ReLU,5000,1,0.00664979860311361,True,0.0005,L1,0.004350691089530824,400,1.41868643591161,1.2881673483963492
1,34,34,1,ReLU,5000,1,0.0029356935868656998,True,0.0005,L1,0.0045851355055851455,400,1.0961752038658696,1.2197090698338517
1,18,18,1,leaky ReLU,5000,1,0.003949412909253978,True,0.0005,L2,0.006467795289974307,400,1.0946192407828848,1.2770100943158316
1,59,59,1,leaky ReLU,5000,1,0.001021121259147223,True,0.0005,None,0.0033806043438052162,400,1.137488196599768,1.2704531697318282
1,80,80,1,sig,5000,1,0.00886727779074643,True,0.0005,None,0.008235275319519689,400,1.1766890247001716,1.2830129963340102
1,19,19,1,leaky ReLU,5000,1,0.0016068000196995935,True,0.0005,L1,0.005664103446206954,400,1.0757399695062855,1.2959387880216104
1,19,19,1,ReLU,5000,1,0.002867972191099726,True,0.0005,None,0.0077636499564142526,400,1.2303160128797117,1.4077700522535168
